,0
0,Himachal Pradesh
1,Punjab
2,Uttarakhand
3,Haryana
4,Uttar Pradesh
5,Rajasthan
6,Bihar
7,Assam
8,Nagaland
9,Mizoram
10,Tripura
11,Jharkhand
12,Chhattisgarh
13,Madhya Pradesh
14,Odisha
15,Telangana
16,Goa
